step,H_parallel,H_perp,H_total,PR,PR_over_M,abs_ZT_Z,sigma1_phase_reader,amp_min,amp_max,amp_std,K_spectral_norm,K_antisym_error
0.0,0.859649122807018,0.0,0.859649122807018,8.711111111111121,0.8711111111111121,2.667864133288178e-16,3.7416573867739413,0.26765168951565527,0.42919753763947577,0.04734269360113356,nan,nan
1.0,0.8596435750224242,5.547784595050231e-06,0.8596491228070192,8.710749640601861,0.8710749640601861,2.6599640940884715e-16,3.74163324239578,0.2676499623419997,0.42921692585606336,0.04734902765698863,0.35510368716456825,3.984037312917362e-17
2.0,0.8596269301710802,2.219263593872256e-05,0.8596491228070189,8.709665116177122,0.8709665116177122,5.329374092330503e-16,3.741560833656053,0.2676447818985281,0.4292750798514724,0.04736802774502956,0.3551059257246103,5.615503445600182e-17
3.0,0.8595991785003342,4.994430668514571e-05,0.8596491228070193,8.707857081089143,0.8707857081089143,3.361033707941803e-16,3.7414402107353593,0.2676361497791969,0.42937197365771135,0.04739968984104376,0.35511264198554254,4.465943560382229e-17
4.0,0.8595603002572083,8.882254981146254e-05,0.8596491228070198,8.70532466809869,0.8705324668098691,3.9417886445111417e-16,3.7412714417043023,0.267624067549406,0.42950756966193315,0.047444009209372674,0.35512383623133237,3.4971262167264404e-17
5.0,0.8595102657015685,0.00013885710545213925,0.8596491228070207,8.702066604186161,0.870206660418616,1.0978217412131825e-15,3.741054612110664,0.26760853674829077,0.42968181862969085,0.04750098038163027,0.35513950843917114,3.516270105003834e-17
6.0,0.8594490351229458,0.00020008768407586697,0.8596491228070217,8.698081217065283,0.8698081217065283,9.536747003125797e-16,3.7407898244143842,0.26758955889201486,0.42989465973249735,0.04757059712589441,0.3551596582767291,4.4741530921068794e-17
7.0,0.8593765588610527,0.0002725639459695284,0.8596491228070222,8.69336644349542,0.8693366443495419,1.4314124312976305e-15,3.740477197272338,0.26756713547806765,0.4301460205796014,0.04765285240665109,0.3551842850981577,4.0233416637072473e-17
8.0,0.8592927773300216,0.00035634547700058583,0.8596491228070222,8.687919839387547,0.8687919839387547,8.969780369933164e-16,3.7401168646751994,0.267541267990564,0.430435817253875,0.04774773833584616,0.3552133879388488,2.3446032721457807e-17
9.0,0.8591976210464112,0.0004515017606085969,0.8596491228070198,8.68173859169862,0.868173859169862,9.132964797666166e-16,3.7397089749391026,0.2675119579065443,0.4307639543516786,0.04785524611546174,0.3552469655089504,4.5907751289299246e-17
10.0,0.859091010661048,0.0005581121459702354,0.8596491228070182,8.674819532107408,0.8674819532107408,6.958831489466263e-16,3.739253689555318,0.26747920670327924,0.43113032502657256,0.047975365972103265,0.35528501618564406,4.1081692786360617e-17
11.0,0.8589728569947435,0.0006762658122734244,0.8596491228070169,8.667159152464176,0.8667159152464177,2.020874226173218e-16,3.738751181901363,0.2674430158665722,0.43153481103670055,0.048108087084131085,0.3553275380041948,4.5869084760488386e-17
12.0,0.858843061077992,0.0008060617290254202,0.8596491228070174,8.65875362200445,0.865875362200445,2.593408789391542e-16,3.7382016358174357,0.2674033869000668,0.4319772827956828,0.048253397501926525,0.35537452864776814,1.3754637640949984e-17
13.0,0.8587015141947064,0.0009476086123098026,0.8596491228070162,8.649598806315375,0.8649598806315375,3.836222653242527e-16,3.7376052440522987,0.2673603213355523,0.4324575994268211,0.04841128406191962,0.3554259854360322,4.156355303695138e-17
14.0,0.8585480979301159,0.0011010248769010023,0.8596491228070169,8.639690288040764,0.8639690288040764,4.2023141417903795e-16,3.73696220658311,0.26731382074427573,0.43297560882042163,0.048581732295041695,0.3554819053125431,2.3636665577229443e-17
15.0,0.8583826842228885,0.0012664385841283377,0.8596491228070169,8.629023389308088,0.8629023389308088,5.073962692192007e-16,3.7362727288137623,0.2672638867492478,0.4335311476940111,0.048764726330291636,0.3555422848309369,3.0263055235573775e-17
16.0,0.8582051354216358,0.0014439873853808738,0.8596491228070167,8.617593195857516,0.8617593195857516,9.175029757089446e-16,3.735537019656842,0.26721052103855986,0.4341240416552298,0.04896024879412167,0.3556071201399117,3.27825879489735e-17
17.0,0.8580153043458808,0.0016338184611345286,0.8596491228070153,8.605394582849389,0.8605394582849388,1.7331233454787203e-15,3.734755289504088,0.2671537253796942,0.43475410526716646,0.04916828070636211,0.3556764069670384,3.797338046157316e-17
18.0,0.8578130343516481,0.0018360884553658696,0.859649122807014,8.592422242322293,0.8592422242322293,2.0290833214474012e-15,3.7339277480907676,0.267093501634842,0.4354211421158933,0.049388801373402055,0.3557501406013897,3.1490096091691926e-17
19.0,0.8575981594017992,0.002050963405215267,0.8596491228070144,8.57867071226947,0.857867071226947,1.6927515903995453e-15,3.733054602259234,0.2670298517772206,0.43612494487995235,0.049621788279340225,0.3558283158750107,5.0181679184029017e-17
20.0,0.8573705041412535,0.002278618665759624,0.8596491228070131,8.56413440729572,0.856413440729572,1.81575426613374e-15,3.732136053627159,0.2669627779083896,0.43686529540154534,0.049867216975807635,0.3559109271432382,4.1911920225098346e-17
21.0,0.8571298839772848,0.0025192388297298196,0.8596491228070147,8.548807650811758,0.8548807650811758,3.2904986105092093e-15,3.731172296165897,0.26689228227657497,0.43764196475917716,0.05012506097114342,0.3559979682638816,4.144588879159136e-17
22.0,0.8568761051649977,0.002773017642016984,0.8596491228070147,8.532684708716454,0.8532684708716454,3.592116304396724e-15,3.7301635136945515,0.26681836729598474,0.4384547133414849,0.050395291619577315,0.3560894325752913,3.542434227300299e-17
23.0,0.8566089648982216,0.0030401579087940833,0.8596491228070157,8.515759824510983,0.8515759824510983,3.847356290555349e-15,3.7291098772951328,0.26674103556713163,0.439303290922014,0.050677878011043634,0.3561853128733095,4.074125987254088e-17
24.0,0.8563282514059387,0.0033208714010763973,0.8596491228070151,8.498027255781517,0.8498027255781517,3.554023002875969e-15,3.7280115426543228,0.2666602898981484,0.44018743673467403,0.050972786862212176,0.35628560138714527,4.5271669435264957e-17
25.0,0.8560337440544779,0.0036153787525381453,0.859649122807016,8.479481311979717,0.8479481311979716,2.8664916820583016e-15,3.7268686473371626,0.26657613332710245,0.44110687954963806,0.05127998240928203,0.3563902897541685,4.6971884004361446e-17
26.0,0.8557252134556299,0.0039239093513883105,0.8596491228070182,8.460116393422133,0.8460116393422134,2.6195473383276135e-15,3.7256813079978928,0.2664885691453036,0.44206133774942874,0.05159942630303672,0.35649936899366197,4.173931414987175e-17
27.0,0.8554024215809051,0.0042467012261129256,0.859649122807018,8.439927031421234,0.8439927031421235,2.735596343187225e-15,3.724449617533087,0.2663976009216016,0.44305051940496176,0.05193107750661406,0.35661282947953543,4.29487698530786e-17
28.0,0.8550651218821403,0.004584000924878762,0.8596491228070191,8.418907929452057,0.8418907929452057,3.4743347242739266e-15,3.723173642181938,0.2663032325276768,0.44407412235131766,0.052274892196392496,0.35673066091203454,4.585323504127894e-17
29.0,0.8547130594186287,0.004936063388389589,0.8596491228070183,8.397054005249515,0.8397054005249516,3.1439583840083807e-15,3.7218534185785845,0.26620546816430846,0.4451318342630086,0.05263082366634253,0.35685285228846914,5.0558455206751917e-17
30.0,0.8543459709910417,0.0053031518159765145,0.8596491228070182,8.374360433721874,0.8374360433721874,3.5394435594656114e-15,3.720488950760846,0.2661043123886303,0.44622333272854675,0.052998822236143626,0.3569793918729703,3.213280241667511e-17
