N,series,denominator,onset_gt_0.05,initial,step1,final,max
3,N-2,1,90,1.9763382135617305e-32,1.0615338020145372e-31,0.33331987902481697,0.3590839812921972
3,N-1,2,265,1.9763382135617305e-32,8.739994244997149e-32,0.1028904821391691,0.5976863631636544
3,N,3,-1,1.9763382135617305e-32,8.397387100776648e-32,0.0002577415081752745,0.0002577415081752745
3,N+1,4,-1,1.9763382135617305e-32,1.191651988986447e-31,3.241109758402301e-16,3.241109758402301e-16
3,N+2,5,-1,1.9763382135617305e-32,9.258985677375945e-32,6.921771826832768e-21,6.921771826832768e-21
3,124,124,-1,1.9763382135617305e-32,3.375359410724746e-32,1.0750983959582437e-29,1.1689430350670875e-29
4,N-2,2,52,3.6984300214419635e-32,1.7330553179253422e-31,0.9701185055792467,0.9973980861729387
4,N-1,3,79,3.6984300214419635e-32,1.3437305232439122e-31,0.10177322039721647,0.6336424188476062
4,N,4,117,3.6984300214419635e-32,1.8332401978758477e-31,0.757604903977258,0.9782193369931054
4,N+1,5,162,3.6984300214419635e-32,1.115726797626815e-31,0.05348253891816934,0.9868823559775525
4,N+2,6,218,3.6984300214419635e-32,1.1655538092390804e-31,0.9911913351142513,0.9970774558358566
4,124,124,-1,3.6984300214419635e-32,1.5719483285547321e-31,3.763038002638182e-28,3.9208813443217024e-28
5,N-2,3,140,4.755163423728637e-69,5.127623828824536e-31,0.6000000000000001,0.6150215175396382
5,N-1,4,170,4.755163423728637e-69,5.598354615313341e-31,0.5999999999999999,0.632777603498255
5,N,5,205,4.755163423728637e-69,5.240636174039498e-31,0.5999999999999999,0.6573609915780094
5,N+1,6,257,4.755163423728637e-69,5.4408984946455234e-31,0.6000000000005156,0.6391257225849823
5,N+2,7,308,4.755163423728637e-69,5.099559941349653e-31,0.5999999770515375,0.6609992458414711
5,124,124,-1,4.755163423728637e-69,4.92380757591266e-31,6.624701668422964e-27,6.629185902640245e-27
6,N-2,4,71,2.987640108883981e-32,1.2064346159968194e-30,0.737953740969401,0.7471205373435189
6,N-1,5,92,2.987640108883981e-32,1.0847399176358261e-30,0.7207430412000112,0.7348419790742423
6,N,6,116,2.987640108883981e-32,1.0222475032944983e-30,0.720743041200011,0.7475320456180183
6,N+1,7,148,2.987640108883981e-32,1.1509036359336426e-30,0.7207430411996325,0.797269824745026
