step,H_perp,A_perp,H_total,four_group_error,A_B_center_distance
0,9.998716373851308e-25,9.999358166328133e-13,1.0000000000000002,0.7428998946854466,0.4011233872897464
1,9.948465353794547e-25,9.974199393332053e-13,1.0000000000000002,0.8719908139643641,0.4422628654794632
2,1.0392034601470402e-24,1.019413292118089e-12,1.0000000000000002,0.982808822766332,0.4673700867748822
3,1.1316811637206943e-24,1.063805040277914e-12,1.0000000000000004,0.9901938192447556,0.4690988760580441
4,1.2730525544075383e-24,1.1282963061215518e-12,1.0000000000000002,0.8933685897502782,0.4469784281585398
5,1.4656286884851571e-24,1.2106315246536237e-12,1.0000000000000002,0.7116608027610631,0.407368097508956
6,1.7135734613044988e-24,1.3090353170577556e-12,1.0000000000000002,0.8991002581189174,0.3638709670336114
7,2.0230370152052704e-24,1.422335057293207e-12,1.0000000000000002,0.9919163788832172,0.3360062660300263
8,2.4018932586645648e-24,1.5498042646297517e-12,1.0000000000000004,0.980340987621636,0.3397599721354635
9,2.8603434862766872e-24,1.6912550033264313e-12,1.0000000000000004,0.8655923045610124,0.3727897772629232
10,3.411131220205416e-24,1.8469248009070148e-12,1.0000000000000004,0.7514880171488271,0.4169644589063208
11,4.0698322779618594e-24,2.0173825313910744e-12,1.0000000000000002,0.9231383434624234,0.4536499386055506
12,4.8551198175066576e-24,2.2034336426374763e-12,1.0000000000000004,0.997635512983097,0.4708475356872988
13,5.789413659888947e-24,2.4061200427013087e-12,1.0000000000000004,0.9671392759342816,0.4637238616837525
14,6.900193742410555e-24,2.6268219852914575e-12,1.0000000000000004,0.8348591249349113,0.4342285315470755
15,8.219994451750917e-24,2.867053269779081e-12,1.0000000000000004,0.7887481214484504,0.3912766002189418
16,9.786786208779929e-24,3.128383961213829e-12,1.0000000000000004,0.9440229550310006,0.351001845574999
17,1.1647065216541753e-23,3.412779690595593e-12,1.0000000000000004,0.9999466882982406,0.3333511029532517
18,1.3855306150325814e-23,3.722271638438793e-12,1.0000000000000004,0.9506337817045152,0.3490137553932543
19,1.64768091418313e-23,4.059163601264588e-12,1.0000000000000004,0.8012740365186641,0.3884384576456397
20,1.9588766395035538e-23,4.425919836038102e-12,1.0000000000000002,0.823313833803868,0.4317722739458027
21,2.328334942714815e-23,4.8252823157975066e-12,1.0000000000000002,0.9616827502405748,0.4624612550872158
22,2.7669985642402445e-23,5.260226767203335e-12,1.0,0.9988420097706676,0.4711316589379292
23,3.2878082686930974e-23,5.733941287363429e-12,1.0,0.9308808882941216,0.4554044878748824
24,3.906258268334708e-23,6.250006614664266e-12,1.0,0.7649517671819337,0.4196759604625688
25,4.6406841805842747e-23,6.812256733700129e-12,1.0,0.8550670764987812,0.3754789969987592
26,5.512908882871994e-23,7.424896553401935e-12,1.0,0.9760574025957092,0.3411275334723743
27,6.548755153777948e-23,8.09243792301056e-12,1.0,0.99432525102195,0.3352142424680748
28,7.779128228090952e-23,8.819936637012168e-12,1.0000000000000002,0.9079480722972524,0.361421621749925
29,9.240491216945408e-23,9.612747378843058e-12,1.0000000000000002,0.726016395102827,0.4045436652776898
30,1.0976305051387158e-22,1.0476786268406528e-11,1.0000000000000002,0.8838993793143811,0.4448817711553313
31,1.3038225115624118e-22,1.1418504768849603e-11,1.0000000000000002,0.9870978077670842,0.4683733176407721
32,1.548760614644287e-22,1.2444921111217568e-11,1.0000000000000002,0.9864118414623838,0.4682127153068556
33,1.8397400778324405e-22,1.356370184659203e-11,1.0000000000000002,0.8819136730379568,0.444443688057277
