case_id,scattering_protocol,harmonic_order_n,fixed_radius_R,phase_cell_width_L,base_omega_step,omega_n_step,omega_n_times_L,expected_duality_constant,duality_abs_error,mode_period_steps,cycle_return_error,max_R2_abs_error,measured_acceleration,measured_center_acceleration,max_tangent_acceleration,exact_discrete_acceleration,continuum_acceleration,measured_vs_exact_rel_error,discrete_vs_continuum_rel_error,max_scattering_unitarity_error,max_internal_imag,normalization_used,division_by_L2_used,inverse_term_used,additional_spatial_axis_used,time_axis_used,area_term_used
fermionic_reflection_pi_n4,fermionic_reflection_pi,4,1.0,1.5707963267948966,0.0005113269292952137,0.0020453077171808547,0.0032127618493129418,0.0032127618493129418,0.0,3072,2.4492935982947064e-16,2.220446049250313e-16,4.1832821996380595e-06,4.1832821996380595e-06,3.500549607338163e-16,4.183282199637916e-06,4.183283657959559e-06,3.421919948368938e-14,3.486069227445766e-07,0.0,1.2246467991473532e-16,False,False,False,False,False,False
fermionic_reflection_pi_n6,fermionic_reflection_pi,6,1.0,1.0471975511965976,0.0005113269292952137,0.0030679615757712823,0.0032127618493129418,0.0032127618493129418,0.0,2048,2.4492935982947064e-16,2.220446049250313e-16,9.41238084765672e-06,9.41238084765672e-06,6.120374254824654e-16,9.412380847656975e-06,9.41238823040901e-06,2.7177390525424394e-14,7.843654398834904e-07,0.0,1.2246467991473532e-16,False,False,False,False,False,False
fermionic_reflection_pi_n8,fermionic_reflection_pi,8,1.0,0.7853981633974483,0.0005113269292952137,0.0040906154343617095,0.0032127618493129418,0.0032127618493129418,0.0,1536,2.4492935982947064e-16,2.220446049250313e-16,1.673311129870118e-05,1.673311129870118e-05,6.30042221796567e-16,1.67331112987017e-05,1.6733134631838237e-05,3.118202503972663e-14,1.3944271082397158e-06,0.0,1.2246467991473532e-16,False,False,False,False,False,False
fermionic_reflection_pi_n12,fermionic_reflection_pi,12,1.0,0.5235987755982988,0.0005113269292952137,0.006135923151542565,0.0032127618493129418,0.0032127618493129418,0.0,1024,2.4492935982947064e-16,2.220446049250313e-16,3.7649434797713646e-05,3.7649434797713646e-05,1.0230299581153614e-15,3.764943479771468e-05,3.764955292163604e-05,2.7537420761020173e-14,3.137458806019864e-06,0.0,1.2246467991473532e-16,False,False,False,False,False,False
fermionic_reflection_pi_n16,fermionic_reflection_pi,16,1.0,0.39269908169872414,0.0005113269292952137,0.008181230868723419,0.0032127618493129418,0.0032127618493129418,0.0,768,2.4492935982947064e-16,2.220446049250313e-16,6.693216519779192e-05,6.693216519779192e-05,1.03976431389758e-15,6.693216519779307e-05,6.693253852735295e-05,1.7210929974574196e-14,5.577699099624838e-06,0.0,1.2246467991473532e-16,False,False,False,False,False,False
fermionic_reflection_pi_n24,fermionic_reflection_pi,24,1.0,0.2617993877991494,0.0005113269292952137,0.01227184630308513,0.0032127618493129418,0.0032127618493129418,0.0,512,2.4492935982947064e-16,2.220446049250313e-16,0.00015059632171091558,0.00015059632171091558,1.9256403863033475e-15,0.00015059632171091815,0.00015059821168654416,1.7098559449519334e-14,1.2549787974513253e-05,0.0,1.2246467991473532e-16,False,False,False,False,False,False
fermionic_reflection_pi_n32,fermionic_reflection_pi,32,1.0,0.19634954084936207,0.0005113269292952137,0.016362461737446838,0.0032127618493129418,0.0032127618493129418,0.0,384,2.4492935982947064e-16,2.220446049250313e-16,0.00026772418087643313,0.00026772418087643313,1.923122916894225e-15,0.0002677241808764342,0.0002677301541094118,4.049698346022426e-15,2.2310647067179746e-05,0.0,1.2246467991473532e-16,False,False,False,False,False,False
fermionic_reflection_pi_n48,fermionic_reflection_pi,48,1.0,0.1308996938995747,0.0005113269292952137,0.02454369260617026,0.0032127618493129418,0.0032127618493129418,0.0,256,2.4492935982947064e-16,2.220446049250313e-16,0.0006023626075915613,0.0006023626075915613,3.691412896612522e-15,0.0006023626075915597,0.0006023928467461766,2.6998741924415634e-15,5.019839591435285e-05,0.0,1.2246467991473532e-16,False,False,False,False,False,False
fermionic_reflection_pi_n64,fermionic_reflection_pi,64,1.0,0.09817477042468103,0.0005113269292952137,0.032724923474893676,0.0032127618493129418,0.0032127618493129418,0.0,192,2.4492935982947064e-16,2.220446049250313e-16,0.001070825047268709,0.001070825047268709,3.702204785286474e-15,0.001070825047268711,0.0010709206164376472,1.822486236618806e-15,8.924019901134105e-05,0.0,1.2246467991473532e-16,False,False,False,False,False,False
fermionic_reflection_pi_n96,fermionic_reflection_pi,96,1.0,0.06544984694978735,0.0005113269292952137,0.04908738521234052,0.0032127618493129418,0.0032127618493129418,0.0,128,2.4492935982947064e-16,2.220446049250313e-16,0.0024090875896552134,0.0024090875896552134,7.229644567250593e-15,0.0024090875896552147,0.0024095713869847065,5.4005616589839675e-16,0.00020078148840290194,0.0,1.2246467991473532e-16,False,False,False,False,False,False
