delta_f,reflection_rate,transmission_rate,expected_reflection,expected_transmission,reflection_abs_error,transmission_abs_error,norm_total,norm_abs_error,hit_time,final_time
1.0799224746714913,0.26430163158700115,0.7356983684129992,0.2643016315870011,0.735698368412999,5.551115123125783e-17,2.220446049250313e-16,1.0000000000000004,4.440892098500626e-16,8.0,16.0
1.1780972450961724,0.3086582838174551,0.691341716182545,0.3086582838174551,0.6913417161825449,0.0,1.1102230246251565e-16,1.0,0.0,8.0,16.0
1.2762720155208536,0.354857661372769,0.6451423386272315,0.3548576613727688,0.6451423386272312,1.6653345369377348e-16,2.220446049250313e-16,1.0000000000000004,4.440892098500626e-16,8.0,16.0
1.3744467859455345,0.402454838991936,0.5975451610080645,0.40245483899193585,0.5975451610080642,1.6653345369377348e-16,3.3306690738754696e-16,1.0000000000000004,4.440892098500626e-16,8.0,16.0
1.4726215563702154,0.4509914298352197,0.5490085701647807,0.4509914298352196,0.5490085701647804,1.1102230246251565e-16,2.220446049250313e-16,1.0000000000000004,4.440892098500626e-16,8.0,16.0
1.5707963267948966,0.5,0.5000000000000002,0.4999999999999999,0.5000000000000001,1.1102230246251565e-16,1.1102230246251565e-16,1.0000000000000002,2.220446049250313e-16,8.0,16.0
1.6689710972195777,0.5490085701647806,0.4509914298352197,0.5490085701647803,0.4509914298352196,2.220446049250313e-16,1.1102230246251565e-16,1.0000000000000002,2.220446049250313e-16,8.0,16.0
1.7671458676442586,0.5975451610080643,0.402454838991936,0.5975451610080642,0.40245483899193585,1.1102230246251565e-16,1.6653345369377348e-16,1.0000000000000004,4.440892098500626e-16,8.0,16.0
1.8653206380689396,0.6451423386272312,0.35485766137276914,0.645142338627231,0.354857661372769,2.220446049250313e-16,1.6653345369377348e-16,1.0000000000000004,4.440892098500626e-16,8.0,16.0
1.9634954084936207,0.691341716182545,0.3086582838174553,0.6913417161825449,0.3086582838174552,1.1102230246251565e-16,1.1102230246251565e-16,1.0000000000000004,4.440892098500626e-16,8.0,16.0
2.061670178918302,0.7356983684129994,0.26430163158700115,0.735698368412999,0.2643016315870011,4.440892098500626e-16,5.551115123125783e-17,1.0000000000000004,4.440892098500626e-16,8.0,16.0
2.1598449493429825,0.7777851165098012,0.2222148834901991,0.777785116509801,0.22221488349019905,2.220446049250313e-16,5.551115123125783e-17,1.0000000000000002,2.220446049250313e-16,8.0,16.0
2.2580197197676637,0.8171966420818231,0.18280335791817742,0.8171966420818227,0.18280335791817734,3.3306690738754696e-16,8.326672684688674e-17,1.0000000000000004,4.440892098500626e-16,8.0,16.0
2.356194490192345,0.853553390593274,0.14644660940672638,0.8535533905932737,0.1464466094067263,2.220446049250313e-16,8.326672684688674e-17,1.0000000000000004,4.440892098500626e-16,8.0,16.0
2.454369260617026,0.8865052266813688,0.11349477331863153,0.8865052266813686,0.11349477331863152,2.220446049250313e-16,1.3877787807814457e-17,1.0000000000000002,2.220446049250313e-16,8.0,16.0
2.552544031041707,0.915734806151273,0.08426519384872738,0.9157348061512726,0.08426519384872735,4.440892098500626e-16,2.7755575615628914e-17,1.0000000000000004,4.440892098500626e-16,8.0,16.0
2.650718801466388,0.9409606321741778,0.05903936782582256,0.9409606321741775,0.05903936782582253,3.3306690738754696e-16,2.7755575615628914e-17,1.0000000000000004,4.440892098500626e-16,8.0,16.0
2.748893571891069,0.9619397662556437,0.03806023374435666,0.9619397662556434,0.038060233744356645,3.3306690738754696e-16,1.3877787807814457e-17,1.0000000000000004,4.440892098500626e-16,8.0,16.0
2.84706834231575,0.9784701678661049,0.02152983213389558,0.9784701678661045,0.021529832133895567,3.3306690738754696e-16,1.3877787807814457e-17,1.0000000000000004,4.440892098500626e-16,8.0,16.0
2.945243112740431,0.9903926402016153,0.00960735979838481,0.9903926402016151,0.009607359798384809,2.220446049250313e-16,1.734723475976807e-18,1.0000000000000002,2.220446049250313e-16,8.0,16.0
3.043417883165112,0.9975923633360986,0.00240763666390157,0.9975923633360985,0.0024076366639015677,1.1102230246251565e-16,2.168404344971009e-18,1.0000000000000002,2.220446049250313e-16,8.0,16.0
3.141592653589793,1.0000000000000004,1.7939211304199106e-19,1.0,3.749399456654644e-33,4.440892098500626e-16,1.793921130419873e-19,1.0000000000000004,4.440892098500626e-16,8.0,16.0
