idx,i,j,d,family,theta_deg,a,b,r
0,0,1,1,0,0,1.6666666666666666e-01,0.0000000000000000e+00,1.6666666666666666e-01
1,0,2,2,0,0,1.6666666666666666e-01,0.0000000000000000e+00,1.6666666666666666e-01
2,0,3,3,1,90,1.0205389992894610e-17,1.6666666666666666e-01,1.6666666666666666e-01
3,0,4,4,1,90,1.0205389992894610e-17,1.6666666666666666e-01,1.6666666666666666e-01
4,0,5,4,1,90,1.0205389992894610e-17,1.6666666666666666e-01,1.6666666666666666e-01
5,0,6,3,1,90,1.0205389992894610e-17,1.6666666666666666e-01,1.6666666666666666e-01
6,0,7,2,0,0,1.6666666666666666e-01,0.0000000000000000e+00,1.6666666666666666e-01
7,0,8,1,0,0,1.6666666666666666e-01,0.0000000000000000e+00,1.6666666666666666e-01
8,1,2,1,0,0,1.6666666666666666e-01,0.0000000000000000e+00,1.6666666666666666e-01
9,1,3,2,0,0,1.6666666666666666e-01,0.0000000000000000e+00,1.6666666666666666e-01
10,1,4,3,1,90,1.0205389992894610e-17,1.6666666666666666e-01,1.6666666666666666e-01
11,1,5,4,1,90,1.0205389992894610e-17,1.6666666666666666e-01,1.6666666666666666e-01
12,1,6,4,1,90,1.0205389992894610e-17,1.6666666666666666e-01,1.6666666666666666e-01
13,1,7,3,1,90,1.0205389992894610e-17,1.6666666666666666e-01,1.6666666666666666e-01
14,1,8,2,0,0,1.6666666666666666e-01,0.0000000000000000e+00,1.6666666666666666e-01
15,2,3,1,0,0,1.6666666666666666e-01,0.0000000000000000e+00,1.6666666666666666e-01
16,2,4,2,0,0,1.6666666666666666e-01,0.0000000000000000e+00,1.6666666666666666e-01
17,2,5,3,1,90,1.0205389992894610e-17,1.6666666666666666e-01,1.6666666666666666e-01
18,2,6,4,1,90,1.0205389992894610e-17,1.6666666666666666e-01,1.6666666666666666e-01
19,2,7,4,1,90,1.0205389992894610e-17,1.6666666666666666e-01,1.6666666666666666e-01
20,2,8,3,1,90,1.0205389992894610e-17,1.6666666666666666e-01,1.6666666666666666e-01
21,3,4,1,0,0,1.6666666666666666e-01,0.0000000000000000e+00,1.6666666666666666e-01
22,3,5,2,0,0,1.6666666666666666e-01,0.0000000000000000e+00,1.6666666666666666e-01
23,3,6,3,1,90,1.0205389992894610e-17,1.6666666666666666e-01,1.6666666666666666e-01
24,3,7,4,1,90,1.0205389992894610e-17,1.6666666666666666e-01,1.6666666666666666e-01
25,3,8,4,1,90,1.0205389992894610e-17,1.6666666666666666e-01,1.6666666666666666e-01
26,4,5,1,0,0,1.6666666666666666e-01,0.0000000000000000e+00,1.6666666666666666e-01
27,4,6,2,0,0,1.6666666666666666e-01,0.0000000000000000e+00,1.6666666666666666e-01
28,4,7,3,1,90,1.0205389992894610e-17,1.6666666666666666e-01,1.6666666666666666e-01
29,4,8,4,1,90,1.0205389992894610e-17,1.6666666666666666e-01,1.6666666666666666e-01
30,5,6,1,0,0,1.6666666666666666e-01,0.0000000000000000e+00,1.6666666666666666e-01
31,5,7,2,0,0,1.6666666666666666e-01,0.0000000000000000e+00,1.6666666666666666e-01
32,5,8,3,1,90,1.0205389992894610e-17,1.6666666666666666e-01,1.6666666666666666e-01
33,6,7,1,0,0,1.6666666666666666e-01,0.0000000000000000e+00,1.6666666666666666e-01
34,6,8,2,0,0,1.6666666666666666e-01,0.0000000000000000e+00,1.6666666666666666e-01
35,7,8,1,0,0,1.6666666666666666e-01,0.0000000000000000e+00,1.6666666666666666e-01
