idx,i,j,d,family,theta_deg,a,b,r
0,0,1,1,2,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
1,0,2,2,2,120.0,-3.1434730673096559e-02,5.4446550648047078e-02,6.2869461346193145e-02
2,0,3,3,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
3,0,4,4,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
4,0,5,5,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
5,0,6,6,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
6,0,7,7,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
7,0,8,8,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
8,0,9,9,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
9,0,10,10,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
10,0,11,11,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
11,0,12,11,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
12,0,13,10,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
13,0,14,9,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
14,0,15,8,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
15,0,16,7,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
16,0,17,6,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
17,0,18,5,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
18,0,19,4,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
19,0,20,3,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
20,0,21,2,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
21,0,22,1,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
22,1,2,1,2,60.0,3.1434730673096579e-02,5.4446550648047071e-02,6.2869461346193145e-02
23,1,3,2,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
24,1,4,3,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
25,1,5,4,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
26,1,6,5,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
27,1,7,6,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
28,1,8,7,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
29,1,9,8,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
30,1,10,9,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
31,1,11,10,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
32,1,12,11,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
33,1,13,11,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
34,1,14,10,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
35,1,15,9,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
36,1,16,8,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
37,1,17,7,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
38,1,18,6,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
39,1,19,5,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
40,1,20,4,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
41,1,21,3,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
42,1,22,2,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
43,2,3,1,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
44,2,4,2,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
45,2,5,3,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
46,2,6,4,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
47,2,7,5,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
48,2,8,6,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
49,2,9,7,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
50,2,10,8,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
51,2,11,9,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
52,2,12,10,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
53,2,13,11,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
54,2,14,11,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
55,2,15,10,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
56,2,16,9,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
57,2,17,8,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
58,2,18,7,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
59,2,19,6,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
60,2,20,5,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
61,2,21,4,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
62,2,22,3,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
63,3,4,1,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
64,3,5,2,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
65,3,6,3,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
66,3,7,4,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
67,3,8,5,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
68,3,9,6,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
69,3,10,7,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
70,3,11,8,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
71,3,12,9,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
72,3,13,10,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
73,3,14,11,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
74,3,15,11,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
75,3,16,10,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
76,3,17,9,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
77,3,18,8,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
78,3,19,7,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
79,3,20,6,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
80,3,21,5,0,0.0,6.2869461346193145e-02,0.0000000000000000e+00,6.2869461346193145e-02
81,3,22,4,1,90.0,3.8496442300866843e-18,6.2869461346193145e-02,6.2869461346193145e-02
