E_mean,E_std,R_mean,R_std,gauge_count,p_mean,p_std,particle,stage,t_mean,t_std
1.0000000000003315,6.526751786450488e-15,0.9999999999999859,2.442238317726076e-14,8,0.999999999999998,7.67470525005252e-15,A,wall_reflection_12,2.570999999999828,0.0002500000000000835
1.0000000000003315,6.526751786450488e-15,0.9999999999999859,2.442238317726076e-14,8,0.999999999999998,7.67470525005252e-15,A,ab_collision_7_before,2.804999999999802,0.0002500000000000835
1.0000000000003315,6.526751786450488e-15,0.9999999999999859,2.442238317726076e-14,8,-0.9999999999999976,8.629529396302826e-15,A,ab_collision_7_after,2.804999999999802,0.0002500000000000835
1.0000000000003315,6.526751786450488e-15,0.9999999999999859,2.442238317726076e-14,8,0.999999999999998,7.67470525005252e-15,A,wall_reflection_14,3.039999999999776,0.0002500000000000835
1.0000000000003315,6.526751786450488e-15,0.9999999999999859,2.442238317726076e-14,8,0.999999999999998,7.67470525005252e-15,A,ab_collision_8_before,3.2749999999997503,0.0002500000000000835
1.0000000000003315,6.526751786450488e-15,0.9999999999999859,2.442238317726076e-14,8,-0.9999999999999976,8.629529396302826e-15,A,ab_collision_8_after,3.2749999999997503,0.0002500000000000835
0.999999999999998,7.685538434122802e-15,0.9999999999999999,2.220446049250313e-16,8,-0.9999999999999977,8.64005702460376e-15,B,initial,-0.2,0.0002500000000000002
1.0000000000003315,6.526751786450488e-15,0.9999999999999859,2.442238317726076e-14,8,0.999999999999998,7.67470525005252e-15,B,final,3.2759999999997502,0.0002500000000000835
0.999999999999998,7.685538434122802e-15,0.9999999999999999,2.220446049250313e-16,8,-0.9999999999999977,8.64005702460376e-15,B,ab_collision_1_before,-0.014999999999999847,0.0002500000000000002
0.999999999999998,7.685538434122802e-15,0.9999999999999999,2.220446049250313e-16,8,0.999999999999998,7.685538434122802e-15,B,ab_collision_1_after,-0.014999999999999847,0.0002500000000000002
0.999999999999998,7.685538434122802e-15,0.9999999999999999,2.220446049250313e-16,8,-0.9999999999999977,8.64005702460376e-15,B,wall_reflection_2,0.22000000000000033,0.0002500000000000002
0.999999999999998,7.685538434122802e-15,0.9999999999999999,2.220446049250313e-16,8,-0.9999999999999977,8.64005702460376e-15,B,ab_collision_2_before,0.4550000000000005,0.0002500000000000002
0.999999999999998,7.685538434122802e-15,0.9999999999999999,2.220446049250313e-16,8,0.999999999999998,7.685538434122802e-15,B,ab_collision_2_after,0.4550000000000005,0.0002500000000000002
0.9999999999998959,1.6067050413865936e-14,1.0000000000000049,8.081783080606096e-15,8,-0.9999999999999976,8.629529396302826e-15,B,wall_reflection_4,0.6910000000000007,0.00024999999999997247
0.9999999999998959,1.6067050413865936e-14,1.0000000000000049,8.081783080606096e-15,8,-0.9999999999999976,8.629529396302826e-15,B,ab_collision_3_before,0.9250000000000009,0.00024999999999997247
0.9999999999998959,1.6067050413865936e-14,1.0000000000000049,8.081783080606096e-15,8,0.999999999999998,7.67470525005252e-15,B,ab_collision_3_after,0.9250000000000009,0.00024999999999997247
0.9999999999998959,1.6067050413865936e-14,1.0000000000000049,8.081783080606096e-15,8,-0.9999999999999976,8.629529396302826e-15,B,wall_reflection_6,1.1599999999999833,0.00024999999999997247
0.9999999999998959,1.6067050413865936e-14,1.0000000000000049,8.081783080606096e-15,8,-0.9999999999999976,8.629529396302826e-15,B,ab_collision_4_before,1.3949999999999574,0.00024999999999997247
0.9999999999998959,1.6067050413865936e-14,1.0000000000000049,8.081783080606096e-15,8,0.999999999999998,7.67470525005252e-15,B,ab_collision_4_after,1.3949999999999574,0.00024999999999997247
0.9999999999998959,1.6067050413865936e-14,1.0000000000000049,8.081783080606096e-15,8,-0.9999999999999976,8.629529396302826e-15,B,wall_reflection_8,1.6309999999999314,0.00024999999999997247
0.9999999999998959,1.6067050413865936e-14,1.0000000000000049,8.081783080606096e-15,8,-0.9999999999999976,8.629529396302826e-15,B,ab_collision_5_before,1.8649999999999056,0.00024999999999997247
0.9999999999998959,1.6067050413865936e-14,1.0000000000000049,8.081783080606096e-15,8,0.999999999999998,7.67470525005252e-15,B,ab_collision_5_after,1.8649999999999056,0.00024999999999997247
1.0000000000003315,6.526751786450488e-15,0.9999999999999859,2.442238317726076e-14,8,-0.9999999999999976,8.629529396302826e-15,B,wall_reflection_10,2.0999999999998797,0.0002500000000000835
1.0000000000003315,6.526751786450488e-15,0.9999999999999859,2.442238317726076e-14,8,-0.9999999999999976,8.629529396302826e-15,B,ab_collision_6_before,2.334999999999854,0.0002500000000000835
1.0000000000003315,6.526751786450488e-15,0.9999999999999859,2.442238317726076e-14,8,0.999999999999998,7.67470525005252e-15,B,ab_collision_6_after,2.334999999999854,0.0002500000000000835
1.0000000000003315,6.526751786450488e-15,0.9999999999999859,2.442238317726076e-14,8,-0.9999999999999976,8.629529396302826e-15,B,wall_reflection_12,2.570999999999828,0.0002500000000000835
1.0000000000003315,6.526751786450488e-15,0.9999999999999859,2.442238317726076e-14,8,-0.9999999999999976,8.629529396302826e-15,B,ab_collision_7_before,2.804999999999802,0.0002500000000000835
1.0000000000003315,6.526751786450488e-15,0.9999999999999859,2.442238317726076e-14,8,0.999999999999998,7.67470525005252e-15,B,ab_collision_7_after,2.804999999999802,0.0002500000000000835
1.0000000000003315,6.526751786450488e-15,0.9999999999999859,2.442238317726076e-14,8,-0.9999999999999976,8.629529396302826e-15,B,wall_reflection_14,3.039999999999776,0.0002500000000000835
1.0000000000003315,6.526751786450488e-15,0.9999999999999859,2.442238317726076e-14,8,-0.9999999999999976,8.629529396302826e-15,B,ab_collision_8_before,3.2749999999997503,0.0002500000000000835
1.0000000000003315,6.526751786450488e-15,0.9999999999999859,2.442238317726076e-14,8,0.999999999999998,7.67470525005252e-15,B,ab_collision_8_after,3.2749999999997503,0.0002500000000000835
