step,tol,triplet_cluster_count,cluster_sizes_desc
0,0.01,2,2;1
0,0.001,2,2;1
0,0.0001,2,2;1
0,1e-06,2,2;1
0,1e-08,2,2;1
0,1e-10,2,2;1
1,0.01,2,2;1
1,0.001,2,2;1
1,0.0001,2,2;1
1,1e-06,2,2;1
1,1e-08,2,2;1
1,1e-10,2,2;1
10,0.01,2,2;1
10,0.001,2,2;1
10,0.0001,2,2;1
10,1e-06,2,2;1
10,1e-08,2,2;1
10,1e-10,2,2;1
50,0.01,2,2;1
50,0.001,2,2;1
50,0.0001,2,2;1
50,1e-06,2,2;1
50,1e-08,2,2;1
50,1e-10,2,2;1
100,0.01,2,2;1
100,0.001,2,2;1
100,0.0001,2,2;1
100,1e-06,2,2;1
100,1e-08,2,2;1
100,1e-10,2,2;1
150,0.01,2,2;1
150,0.001,2,2;1
150,0.0001,2,2;1
150,1e-06,2,2;1
150,1e-08,2,2;1
150,1e-10,2,2;1
200,0.01,2,2;1
200,0.001,2,2;1
200,0.0001,2,2;1
200,1e-06,2,2;1
200,1e-08,2,2;1
200,1e-10,3,1;1;1
300,0.01,2,2;1
300,0.001,2,2;1
300,0.0001,2,2;1
300,1e-06,2,2;1
300,1e-08,2,2;1
300,1e-10,3,1;1;1
500,0.01,2,2;1
500,0.001,2,2;1
500,0.0001,2,2;1
500,1e-06,3,1;1;1
500,1e-08,3,1;1;1
500,1e-10,3,1;1;1
750,0.01,3,1;1;1
750,0.001,3,1;1;1
750,0.0001,3,1;1;1
750,1e-06,3,1;1;1
750,1e-08,3,1;1;1
750,1e-10,3,1;1;1
1000,0.01,3,1;1;1
1000,0.001,3,1;1;1
1000,0.0001,3,1;1;1
1000,1e-06,3,1;1;1
1000,1e-08,3,1;1;1
1000,1e-10,3,1;1;1
1500,0.01,3,1;1;1
1500,0.001,3,1;1;1
1500,0.0001,3,1;1;1
1500,1e-06,3,1;1;1
1500,1e-08,3,1;1;1
1500,1e-10,3,1;1;1
2000,0.01,3,1;1;1
2000,0.001,3,1;1;1
2000,0.0001,3,1;1;1
2000,1e-06,3,1;1;1
2000,1e-08,3,1;1;1
2000,1e-10,3,1;1;1
3000,0.01,3,1;1;1
3000,0.001,3,1;1;1
3000,0.0001,3,1;1;1
3000,1e-06,3,1;1;1
3000,1e-08,3,1;1;1
3000,1e-10,3,1;1;1
4000,0.01,3,1;1;1
4000,0.001,3,1;1;1
4000,0.0001,3,1;1;1
4000,1e-06,3,1;1;1
4000,1e-08,3,1;1;1
4000,1e-10,3,1;1;1
5000,0.01,3,1;1;1
5000,0.001,3,1;1;1
5000,0.0001,3,1;1;1
5000,1e-06,3,1;1;1
5000,1e-08,3,1;1;1
5000,1e-10,3,1;1;1
